rxn	n_core_models	native_op	native_unanimous	tecrdb_direction	tecrdb_match_tier	op_gc	op_eq	op_dgpms	op_graded	op_graded_trusted	op_graded_heldout
rxn01872	3781	=	True			=		=	=	=	=
rxn01996	1681	=	True	=	stereo_exact	=	=	=	=	=	=
rxn02167	3471	>	True	=	stereo_exact	=	=	=	=	=	=
rxn02168	804	=	True	=	stereo_exact	=	=	=	=	=	=
rxn02314	3850	=	True	=	skeleton	=	=	=	=	=	=
rxn02342	4510	>	True			=	=	=	=	=	=
rxn02376	3788	=	True			=		=	=	=	=
rxn02480	247	=	True			=	=	=	=		=
rxn02527	695	>	True	=	stereo_exact	=	=	=	=	=	=
rxn03020	92	=	True			=	=	=	=	=	=
rxn03079	235	=	True			=	=	=	=	=	=
rxn03085	102	=	True			=	=	=	=		=
rxn03126	142	=	True			=	=	=	=	=	=
rxn03127	95	=	True			=	=	=	=	=	=
rxn03240	3446	=	True			=	=	=	=	=	=
rxn03249	3566	=	True	=	stereo_exact	=	=	=	=	=	=
rxn03250	3446	=	True	=	stereo_exact	=	=	=	=	=	=
rxn03643	644	=	True	=	stereo_exact	=	=	=	=	=	=
rxn03644	694	=	True	=	stereo_exact	=	=	=	=	=	=
rxn03884	3260	>	True	=	stereo_exact	=	=	=	=	=	=
rxn04794	1839	=	True			=	=	=	=	=	=
rxn05040	4947	>	True			>	>	>	>	>	>
rxn05145	5410	>	True			>	>	>	>	>	>
rxn05209	5041	=	True					=	=	=	=
rxn05226	3801	>	True			=	>	>	>	>	>
rxn05312	4092	<	True			=		=	=	=	=
rxn05313	2412	>	True					=	=	=	=
rxn05319	5683	=	True			=		=	=	=	=
rxn05466	5683	=	True			=		=	=	=	=
rxn05467	5683	=	True			=		=	=	=	=
rxn05468	5683	>	True			=		=	=	=	=
rxn05469	5683	=	True			=		=	=	=	=
rxn05488	5683	=	True			=		=	=	=	=
rxn05493	1401	=	True			=		=	=	=	=
rxn05528	5229	>	True				>	>	>	>	>
rxn05559	5683	=	True			=		=	=	=	=
rxn05561	3163	=	True			=		=	=	=	=
rxn05573	1385	>	True	=	skeleton	=		=	=	=	=
rxn05581	2573	=	True			=		=	=	=	=
rxn05602	2230	=	True			=		=	=	=	=
rxn05625	3490	=	True			=		=	=	=	=
rxn05627	3320	>	True			=		=	=	=	=
rxn05651	3087	=	True			=		=	=	=	=
rxn05759	498	=	True								
rxn05937	2725	>	True								
rxn05939	1754	>	True								
rxn06299	216	=	True			=	=	<	<	<	<
rxn06493	4705	=	True								
rxn06526	2863	=	True								
rxn06777	3566	=	True			=	=	=	=	=	=
rxn07191	86	>	True								
rxn08173	5121	=	True	=	stereo_exact	=	=	=	=	=	=
rxn08178	735	>	True				=	=	=		=
rxn08179	735	>	True				=	=	=		=
rxn08350	5683	>	True			=		=	=	=	=
rxn08355	656	>	True				>	>	>		>
rxn08428	5683	=	True			=		=	=	=	=
rxn08518	371	>	True			>	>	>	>	>	>
rxn08527	3469	=	True			=	=	=	=		=
rxn08528	3469	=	True			=	=	=	=	=	=
rxn08556	2620	>	True			=	>	=	=		=
rxn08557	2619	>	True			=	=	=	=		=
rxn08558	2619	>	True			=	=	=	=	=	=
rxn08655	1885	>	True			=	>	=	=		=
rxn08656	1885	>	True			=	=	=	=		=
rxn08689	5683	>	True			=		=	=	=	=
rxn08691	5683	=	True			=		=	=	=	=
rxn08734	4036	>	True			>	>	=	>		>
rxn08783	2106	>	True			=	>	=	=		=
rxn08792	3535	>	True			=	>	=	=		=
rxn08793	3535	>	True			=	=	=	=		=
rxn08900	1852	>	True			=	>	=	=		=
rxn08901	1852	>	True			=	=	=	=		=
rxn08966	5683	=	True			=		=	=	=	=
rxn08971	4222	>	True			=	=	=	=		=
rxn08975	4222	>	True			=	>	=	=		=
rxn08976	4222	>	True			=	>	=	=	=	=
rxn08977	113	>	True			=	>	=	=		=
rxn08999	63	blocked	True			=		=	=	=	=
rxn09001	3190	>	True			=	=	>	=		=
rxn09003	3217	>	True			=	>	=	=		=
rxn09004	1997	=	True			=		=	=	=	=
rxn09008	5683	=	True					=	=	=	=
rxn09167	1623	>	True			>	>	=	>		>
rxn09174	111	=	True			=	=	=	=	=	=
rxn09272	4628	>	True			=	>	=	=		=
rxn09295	2875	>	True	=	stereo_exact	=	=	=	=	=	=
rxn09314	481	>	True			>	>	>	>		>
rxn10114	1689	>	True			>	>	=	>		>
rxn10122	3692	>	True			=	>	=	=		=
rxn10126	3271	>	True			=	>	=	=		=
rxn10471	5683	=	True			=		=	=	=	=
rxn10577	5683	>	True			=		=	=	=	=
rxn11322	5683	blocked	True			=		=	=	=	=
rxn11937	508	<	True			<		<	<	<	<
rxn13974	1855	<	True								
rxn14412	2881	>	True								
rxn14414	2881	>	True								
rxn14418	3971	>	True								
rxn14419	3971	>	True								
rxn14420	3989	>	True								
rxn14421	1539	>	True								
rxn14422	1539	>	True								
rxn14423	383	>	True								
rxn14424	383	>	True								
rxn14425	1695	>	True								
rxn14426	1695	>	True								
rxn14427	3303	>	True								
rxn14428	645	>	True								
rxn15383	1088	>	True			>	>	>	>	>	>
rxn15961	28	=	True			=	=	=	=	=	=
rxn15962	177	=	True					=	=		=
rxn17445	239	=	True								
rxn39175	5683	=	True			=		=	=	=	=
rxn39373	1099	=	True	=	stereo_exact	=	=	=	=	=	=
rxn40505	319	=	True								
rxn46184	239	=	True								
sul00002	493	=	True								
sul00003	147	=	True								
sul00004	163	=	True								
sul00008	1774	>	True								
sul00010	1454	>	True								
