model_id,error,n_unique_reactions,n_unique_compounds,n_reactions_with_direction_gc,n_reactions_with_direction_eq,n_reactions_with_direction_dgpms,n_reactions_with_direction_graded,n_reactions_with_direction_graded_trusted,n_reactions_with_direction_graded_heldout,fba_n_overrides_implicit,fba_n_bounds_changed_implicit,fba_status_implicit,fba_growth_flux_implicit,fba_grows_implicit,fba_n_overrides_gc,fba_n_bounds_changed_gc,fba_status_gc,fba_growth_flux_gc,fba_grows_gc,fba_n_overrides_eq,fba_n_bounds_changed_eq,fba_status_eq,fba_growth_flux_eq,fba_grows_eq,fba_n_overrides_dgpms,fba_n_bounds_changed_dgpms,fba_status_dgpms,fba_growth_flux_dgpms,fba_grows_dgpms,fba_n_overrides_graded,fba_n_bounds_changed_graded,fba_status_graded,fba_growth_flux_graded,fba_grows_graded,fba_n_overrides_graded_trusted,fba_n_bounds_changed_graded_trusted,fba_status_graded_trusted,fba_growth_flux_graded_trusted,fba_grows_graded_trusted,fba_n_overrides_graded_heldout,fba_n_bounds_changed_graded_heldout,fba_status_graded_heldout,fba_growth_flux_graded_heldout,fba_grows_graded_heldout
GCF_000006785.2,,86,94,83,65,85,86,83,86,0,0,optimal,0.0,False,83,27,optimal,0.0,False,65,16,optimal,0.0,False,85,28,optimal,0.0,False,86,26,optimal,0.0,False,83,23,optimal,0.0,False,86,27,optimal,0.0,False
GCF_000006805.1,,107,114,95,78,100,100,89,100,0,0,optimal,0.0,False,95,36,optimal,0.0,False,78,18,optimal,0.0,False,100,36,optimal,0.0,False,100,33,optimal,0.0,False,89,26,optimal,0.0,False,100,34,optimal,0.0,False
GCF_000006825.1,,127,124,113,90,116,117,105,117,0,0,optimal,71.49884240331656,True,113,38,optimal,96.78921148733075,True,90,21,optimal,53.96324024074793,True,116,39,optimal,58.39075090505656,True,117,35,optimal,58.39075090505665,True,105,28,optimal,58.39075090505665,True,117,36,optimal,58.39075090505665,True
GCF_000006845.1,,113,114,99,79,102,103,93,103,0,0,optimal,40.740084372714634,True,99,31,optimal,60.438820372372874,True,79,14,optimal,31.92921930664138,True,102,32,optimal,34.23300523850415,True,103,29,optimal,34.23300523850574,True,93,21,optimal,34.233005238505825,True,103,30,optimal,34.23300523850574,True
GCF_000006865.1,,108,108,100,80,102,103,96,103,0,0,optimal,0.0,False,100,36,optimal,0.0,False,80,20,optimal,0.0,False,102,36,optimal,0.0,False,103,34,optimal,0.0,False,96,28,optimal,0.0,False,103,34,optimal,0.0,False
GCF_000006885.1,,80,91,76,59,79,80,78,80,0,0,optimal,0.0,False,76,23,optimal,0.0,False,59,12,optimal,0.0,False,79,24,optimal,0.0,False,80,22,optimal,0.0,False,78,20,optimal,0.0,False,80,23,optimal,0.0,False
GCF_000006905.1,,135,132,118,96,120,121,112,121,0,0,optimal,41.393598273059006,True,118,42,optimal,63.43842613494042,True,96,22,optimal,35.97549349383198,True,120,41,optimal,35.975493493832026,True,121,38,optimal,35.97549349383202,True,112,31,optimal,35.97549349383202,True,121,38,optimal,35.97549349383204,True
GCF_000006925.2,,167,148,146,124,153,154,131,154,0,0,optimal,81.09450129376907,True,146,53,optimal,109.95680896543836,True,124,31,optimal,60.95058532878776,True,153,57,optimal,78.42076268112737,True,154,52,optimal,78.42076268112757,True,131,36,optimal,78.42076268112748,True,154,53,optimal,78.42076268112757,True
GCF_000006945.2,,174,149,154,130,161,162,141,162,0,0,optimal,81.0945012937691,True,154,56,optimal,109.95680896543826,True,130,34,optimal,60.95058532878767,True,161,60,optimal,82.75063097356117,True,162,55,optimal,81.2674471050502,True,141,41,optimal,81.26744710505,True,162,56,optimal,81.2674471050502,True
GCF_000006965.1,,165,138,145,120,149,150,133,150,0,0,optimal,33.58291032859101,True,145,54,optimal,44.88177819040522,True,120,31,optimal,33.6151685086381,True,149,57,optimal,36.46534151615607,True,150,53,optimal,33.61516850863784,True,133,40,optimal,33.61516850863808,True,150,53,optimal,33.61516850863775,True
GCF_000006985.1,,100,108,84,66,86,87,82,87,0,0,optimal,36.46401184351107,True,84,23,optimal,64.24843525177194,True,66,11,optimal,36.46401184351095,True,86,26,optimal,36.82620700195093,True,87,24,optimal,36.82620700195096,True,82,20,optimal,36.46401184351106,True,87,24,optimal,36.82620700195096,True
GCF_000007005.1,,100,113,91,72,94,94,86,94,0,0,optimal,0.0,False,91,31,optimal,0.0,False,72,15,optimal,0.0,False,94,31,optimal,0.0,False,94,28,optimal,0.0,False,86,22,optimal,0.0,False,94,27,optimal,0.0,False
GCF_000007025.1,,69,93,60,41,62,62,57,62,0,0,optimal,0.0,False,60,16,optimal,0.0,False,41,7,optimal,0.0,False,62,18,optimal,0.0,False,62,16,optimal,0.0,False,57,13,optimal,0.0,False,62,16,optimal,0.0,False
GCF_000007045.1,,80,91,76,59,79,80,78,80,0,0,optimal,0.0,False,76,23,optimal,0.0,False,59,12,optimal,0.0,False,79,24,optimal,0.0,False,80,22,optimal,0.0,False,78,20,optimal,0.0,False,80,23,optimal,0.0,False
GCF_000007065.1,,82,97,72,55,76,76,71,76,0,0,optimal,0.0,False,72,19,optimal,0.0,False,55,8,optimal,0.0,False,76,20,optimal,0.0,False,76,19,optimal,0.0,False,71,17,optimal,0.0,False,76,19,optimal,0.0,False
GCF_000007085.1,,96,107,88,70,90,91,88,91,0,0,optimal,0.0,False,88,32,optimal,0.0,False,70,18,optimal,0.0,False,90,30,optimal,0.0,False,91,29,optimal,0.0,False,88,26,optimal,0.0,False,91,28,optimal,0.0,False
GCF_000007105.1,,97,107,85,68,87,88,81,88,0,0,optimal,0.0,False,85,29,optimal,48.03992309769135,True,68,13,optimal,19.028264584213375,True,87,31,optimal,19.028264584213378,True,88,27,optimal,19.028264584213414,True,81,22,optimal,19.028264584213414,True,88,28,optimal,19.028264584213414,True
GCF_000007125.1,,153,134,135,113,138,139,122,139,0,0,optimal,51.41455846411149,True,135,54,optimal,72.2542671642366,True,113,30,optimal,37.69787852047147,True,138,55,optimal,39.8503354235942,True,139,52,optimal,39.85033542359397,True,122,38,optimal,39.85033542359424,True,139,52,optimal,39.850335423593926,True
GCF_000007145.1,,140,128,126,101,127,128,114,128,0,0,optimal,44.91069732390606,True,126,46,optimal,80.78914840158664,True,101,21,optimal,35.975493493831934,True,127,44,optimal,41.37531548678115,True,128,40,optimal,38.927167270037856,True,114,29,optimal,38.927167270037835,True,128,40,optimal,38.92716727003778,True
GCF_000007165.1,,136,127,123,100,124,125,113,125,0,0,optimal,38.49960730400525,True,123,45,optimal,80.78914840158681,True,100,22,optimal,35.97549349383189,True,124,44,optimal,41.375315486780714,True,125,39,optimal,38.92716727003781,True,113,30,optimal,38.927167270037664,True,125,39,optimal,38.92716727003781,True
GCF_000007185.1,,59,83,48,31,52,52,49,52,0,0,optimal,0.0,False,48,10,optimal,0.0,False,31,1,optimal,0.0,False,52,10,optimal,0.0,False,52,9,optimal,0.0,False,49,9,optimal,0.0,False,52,9,optimal,0.0,False
GCF_000007205.1,,72,89,63,42,65,66,62,66,0,0,optimal,0.0,False,63,18,optimal,0.0,False,42,6,optimal,0.0,False,65,19,optimal,0.0,False,66,17,optimal,0.0,False,62,15,optimal,0.0,False,66,17,optimal,0.0,False
GCF_000007225.1,,97,105,85,67,88,88,78,88,0,0,optimal,0.0,False,85,29,optimal,0.0,False,67,15,optimal,0.0,False,88,31,optimal,0.0,False,88,30,optimal,0.0,False,78,22,optimal,0.0,False,88,29,optimal,0.0,False
GCF_000007245.1,,101,108,91,70,92,93,85,93,0,0,optimal,34.245519829870716,True,91,29,optimal,34.24551982986921,True,70,15,optimal,24.10042744518134,True,92,30,optimal,24.100427445181378,True,93,27,optimal,24.100427445181378,True,85,20,optimal,24.10042744518102,True,93,28,optimal,24.100427445181378,True
GCF_000007265.1,,99,104,93,76,95,96,90,96,0,0,optimal,0.0,False,93,31,optimal,0.0,False,76,16,optimal,0.0,False,95,31,optimal,0.0,False,96,28,optimal,0.0,False,90,23,optimal,0.0,False,96,28,optimal,0.0,False
GCF_000007285.1,,83,93,80,63,82,83,81,83,0,0,optimal,0.0,False,80,26,optimal,0.0,False,63,16,optimal,0.0,False,82,27,optimal,0.0,False,83,25,optimal,0.0,False,81,23,optimal,0.0,False,83,26,optimal,0.0,False
GCF_000007305.1,,71,80,62,46,65,65,63,65,0,0,optimal,0.0,False,62,17,optimal,0.0,False,46,5,optimal,0.0,False,65,16,optimal,0.0,False,65,14,optimal,0.0,False,63,13,optimal,0.0,False,65,13,optimal,0.0,False
GCF_000007325.1,,88,98,82,65,85,86,81,86,0,0,optimal,0.0,False,82,30,optimal,0.0,False,65,17,optimal,0.0,False,85,29,optimal,0.0,False,86,28,optimal,0.0,False,81,23,optimal,0.0,False,86,29,optimal,0.0,False
GCF_000007345.1,,88,99,75,57,79,79,73,79,0,0,optimal,0.0,False,75,19,optimal,0.0,False,57,8,optimal,0.0,False,79,22,optimal,0.0,False,79,20,optimal,0.0,False,73,18,optimal,0.0,False,79,20,optimal,0.0,False
GCF_000007365.1,,68,86,63,42,63,64,63,64,0,0,optimal,0.0,False,63,20,optimal,0.0,False,42,7,optimal,0.0,False,63,19,optimal,0.0,False,64,17,optimal,0.0,False,63,16,optimal,0.0,False,64,17,optimal,0.0,False
GCF_000007385.1,,122,125,109,87,110,111,101,111,0,0,optimal,31.929533647874656,True,109,37,optimal,58.9270561614131,True,87,16,optimal,31.929533647874674,True,110,37,optimal,34.487872339691684,True,111,32,optimal,34.23336657773592,True,101,25,optimal,34.23336657773594,True,111,32,optimal,34.23336657773592,True
GCF_000007405.1,,171,148,150,128,157,158,133,158,0,0,optimal,81.09450129376933,True,150,55,optimal,109.95680896543844,True,128,32,optimal,60.95058532878779,True,157,59,optimal,81.2674471050507,True,158,54,optimal,81.2674471050502,True,133,36,optimal,81.26744710505035,True,158,55,optimal,81.2674471050502,True
GCF_000007425.1,,85,94,82,64,84,85,83,85,0,0,optimal,0.0,False,82,26,optimal,0.0,False,64,17,optimal,0.0,False,84,28,optimal,0.0,False,85,26,optimal,0.0,False,83,24,optimal,0.0,False,85,27,optimal,0.0,False
GCF_000007445.1,,176,152,156,132,162,163,139,163,0,0,optimal,81.09450129376911,True,156,58,optimal,109.95680896543817,True,132,35,optimal,60.95058532878781,True,162,63,optimal,81.26744710504961,True,163,58,optimal,80.38641750896552,True,139,40,optimal,80.38641750896541,True,163,59,optimal,80.38641750896552,True
GCF_000007465.2,,81,93,78,62,79,80,78,80,0,0,optimal,29.597083799333053,True,78,19,optimal,30.07730242689988,True,62,9,optimal,14.498547789207068,True,79,20,optimal,14.799308428317145,True,80,18,optimal,14.498547789207075,True,78,16,optimal,14.498547789207075,True,80,19,optimal,14.498547789207075,True
GCF_000007485.1,,58,75,52,35,53,54,52,54,0,0,optimal,0.0,False,52,16,optimal,0.0,False,35,6,optimal,0.0,False,53,17,optimal,0.0,False,54,16,optimal,0.0,False,52,14,optimal,0.0,False,54,16,optimal,0.0,False
GCF_000007505.1,,154,135,135,112,139,140,123,140,0,0,optimal,23.177347850851508,True,135,52,optimal,29.668102932493504,True,112,29,optimal,32.4376750620775,True,139,54,optimal,36.46534151615596,True,140,51,optimal,36.46534151615597,True,123,37,optimal,36.46534151615605,True,140,51,optimal,36.46534151615597,True
GCF_000007525.1,,87,96,82,65,84,85,82,85,0,0,optimal,0.0,False,82,24,optimal,56.95878177756667,True,65,10,optimal,24.458459141532533,True,84,21,optimal,25.787851085475097,True,85,20,optimal,25.787851085475175,True,82,17,optimal,25.787851085475175,True,85,20,optimal,25.787851085475175,True
GCF_000007545.1,,169,145,149,125,156,157,136,157,0,0,optimal,81.09450129376923,True,149,53,optimal,109.95680896543838,True,125,31,optimal,60.95058532878781,True,156,57,optimal,82.75063097356117,True,157,52,optimal,81.26744710505089,True,136,38,optimal,81.26744710505079,True,157,53,optimal,81.26744710505089,True
GCF_000007565.2,,163,137,142,117,145,146,127,146,0,0,optimal,62.06297323017095,True,142,54,optimal,121.18372260238004,True,117,26,optimal,41.37531548678064,True,145,53,optimal,41.37531548678046,True,146,49,optimal,41.37531548678057,True,127,33,optimal,41.37531548678057,True,146,49,optimal,41.37531548678055,True
GCF_000007585.1,,83,102,70,50,72,73,69,73,0,0,optimal,0.0,False,70,20,optimal,0.0,False,50,10,optimal,0.0,False,72,23,optimal,0.0,False,73,21,optimal,0.0,False,69,18,optimal,0.0,False,73,22,optimal,0.0,False
GCF_000007605.1,,73,90,64,43,66,67,63,67,0,0,optimal,0.0,False,64,18,optimal,0.0,False,43,6,optimal,0.0,False,66,19,optimal,0.0,False,67,17,optimal,0.0,False,63,15,optimal,0.0,False,67,17,optimal,0.0,False
GCF_000007625.1,,97,106,87,67,91,92,84,92,0,0,optimal,0.0,False,87,31,optimal,0.0,False,67,17,optimal,0.0,False,91,28,optimal,0.0,False,92,29,optimal,0.0,False,84,22,optimal,0.0,False,92,29,optimal,0.0,False
GCF_000007645.1,,143,122,131,105,133,134,117,134,0,0,optimal,0.0,False,131,49,optimal,0.0,False,105,23,optimal,0.0,False,133,46,optimal,0.0,False,134,44,optimal,0.0,False,117,30,optimal,0.0,False,134,43,optimal,0.0,False
GCF_000007665.1,,115,118,105,84,107,108,100,108,0,0,optimal,0.0,False,105,35,optimal,0.0,False,84,19,optimal,0.0,False,107,35,optimal,0.0,False,108,33,optimal,0.0,False,100,27,optimal,0.0,False,108,33,optimal,0.0,False
GCF_000007685.1,,96,109,89,70,91,92,88,92,0,0,optimal,0.0,False,89,29,optimal,0.0,False,70,16,optimal,0.0,False,91,29,optimal,0.0,False,92,28,optimal,0.0,False,88,24,optimal,0.0,False,92,28,optimal,0.0,False
GCF_000007705.1,,153,143,133,106,136,137,124,137,0,0,optimal,55.455530210324326,True,133,47,optimal,76.78696990938045,True,106,24,optimal,0.0,False,136,46,optimal,0.0,False,137,42,optimal,0.0,False,124,33,optimal,0.0,False,137,43,optimal,0.0,False
GCF_000007725.1,,64,81,59,39,60,60,59,60,0,0,optimal,0.0,False,59,18,optimal,0.0,False,39,7,optimal,0.0,False,60,18,optimal,0.0,False,60,16,optimal,0.0,False,59,15,optimal,0.0,False,60,16,optimal,0.0,False
GCF_000007745.1,,132,128,119,94,121,122,110,122,0,0,optimal,0.0,False,119,44,optimal,109.9568089654386,True,94,21,optimal,0.0,False,121,42,optimal,60.950585328787824,True,122,38,optimal,60.95058532878778,True,110,30,optimal,60.95058532878777,True,122,38,optimal,60.95058532878783,True
GCF_000007765.1,,104,118,93,73,95,96,91,96,0,0,optimal,0.0,False,93,30,optimal,0.0,False,73,17,optimal,0.0,False,95,33,optimal,26.741739643759946,True,96,30,optimal,25.981686673759988,True,91,27,optimal,25.981686673760098,True,96,30,optimal,25.981686673759988,True
GCF_000007765.2,,102,118,91,71,93,94,89,94,0,0,optimal,0.0,False,91,29,optimal,0.0,False,71,15,optimal,0.0,False,93,31,optimal,26.741739643759946,True,94,28,optimal,25.98168667376002,True,89,25,optimal,25.98168667376002,True,94,28,optimal,25.98168667376002,True
GCF_000007785.1,,104,109,95,74,97,98,93,98,0,0,optimal,0.0,False,95,36,optimal,0.0,False,74,20,optimal,0.0,False,97,36,optimal,0.0,False,98,32,optimal,0.0,False,93,28,optimal,0.0,False,98,33,optimal,0.0,False
GCF_000007805.1,,156,138,139,114,142,143,127,143,0,0,optimal,79.9407907254181,True,139,50,optimal,101.74071582054549,True,114,26,optimal,65.97408537926302,True,142,51,optimal,87.15097316877853,True,143,47,optimal,86.75543019588687,True,127,34,optimal,86.75543019588689,True,143,47,optimal,86.75543019588687,True
GCF_000007825.1,,156,134,141,114,144,145,129,145,0,0,optimal,52.09092992728117,True,141,52,optimal,78.51221593999922,True,114,27,optimal,53.81789531127732,True,144,52,optimal,64.53592930304058,True,145,49,optimal,53.81789531127737,True,129,36,optimal,53.81789531127743,True,145,49,optimal,53.81789531127737,True
GCF_000007845.1,,161,138,145,118,148,149,134,149,0,0,optimal,75.34505343578829,True,145,54,optimal,100.94427763714086,True,118,30,optimal,53.81789531127728,True,148,54,optimal,53.8178953112772,True,149,52,optimal,53.81789531127728,True,134,39,optimal,53.81789531127713,True,149,52,optimal,53.81789531127724,True
GCF_000007865.1,,145,124,130,108,132,133,117,133,0,0,optimal,31.060233298589424,True,130,48,optimal,59.14884807618452,True,108,28,optimal,27.8391011311031,True,132,50,optimal,44.3616360571378,True,133,48,optimal,44.36163605713792,True,117,35,optimal,44.36163605713769,True,133,48,optimal,44.36163605713792,True
GCF_000007885.1,,160,143,142,122,147,148,129,148,0,0,optimal,71.95098698766266,True,142,52,optimal,103.43828871695135,True,122,29,optimal,53.96324024074558,True,147,54,optimal,62.06297323017138,True,148,49,optimal,62.06297323017052,True,129,35,optimal,62.062973230171124,True,148,49,optimal,62.06297323017138,True
GCF_000007905.1,,98,100,80,61,85,86,74,86,0,0,optimal,20.21933939374333,True,80,21,optimal,20.219339393743347,True,61,8,optimal,20.219339393743358,True,85,26,optimal,20.219339393743358,True,86,24,optimal,20.21933939374361,True,74,14,optimal,20.219339393743276,True,86,24,optimal,20.21933939374361,True
GCF_000007925.1,,85,95,79,62,81,82,74,82,0,0,optimal,0.0,False,79,27,optimal,8.209534690415042,True,62,13,optimal,8.209534690415028,True,81,29,optimal,8.209534690415024,True,82,26,optimal,8.209534690415023,True,74,18,optimal,8.20953469041502,True,82,27,optimal,8.209534690415023,True
GCF_000007945.1,,113,111,102,77,103,104,89,104,0,0,optimal,0.0,False,102,39,optimal,87.62142869660207,True,77,18,optimal,0.0,False,103,39,optimal,43.98272358617523,True,104,35,optimal,43.982723586175396,True,89,24,optimal,43.98272358617545,True,104,36,optimal,43.982723586175396,True
GCF_000007985.2,,116,116,100,78,103,104,96,104,0,0,optimal,41.00883558145289,True,100,29,optimal,64.16479889518082,True,78,17,optimal,44.42178385050989,True,103,33,optimal,44.42178385050987,True,104,30,optimal,44.421783850509854,True,96,24,optimal,44.4217838505098,True,104,30,optimal,44.421783850509854,True
GCF_000008005.1,,152,133,138,113,141,142,128,142,0,0,optimal,70.28066598916097,True,138,49,optimal,105.71964418996536,True,113,27,optimal,52.85363053011094,True,141,51,optimal,65.97408537926042,True,142,47,optimal,56.18003829605941,True,128,36,optimal,53.822570619795364,True,142,47,optimal,56.18003829605942,True
GCF_000008025.1,,74,87,65,46,66,67,62,67,0,0,optimal,0.0,False,65,15,optimal,0.0,False,46,5,optimal,0.0,False,66,18,optimal,0.0,False,67,16,optimal,0.0,False,62,13,optimal,0.0,False,67,16,optimal,0.0,False
GCF_000008045.1,,71,94,62,43,64,64,59,64,0,0,optimal,0.0,False,62,17,optimal,0.0,False,43,8,optimal,0.0,False,64,19,optimal,0.0,False,64,17,optimal,0.0,False,59,14,optimal,0.0,False,64,17,optimal,0.0,False
GCF_000008065.1,,81,89,75,59,77,78,72,78,0,0,optimal,0.0,False,75,23,optimal,0.0,False,59,10,optimal,0.0,False,77,23,optimal,0.0,False,78,21,optimal,0.0,False,72,16,optimal,0.0,False,78,21,optimal,0.0,False
GCF_000008105.1,,169,147,150,126,156,157,136,157,0,0,optimal,74.8564627327102,True,150,55,optimal,109.95680896543826,True,126,33,optimal,56.14234704953246,True,156,58,optimal,82.75063097356127,True,157,53,optimal,81.2674471050502,True,136,39,optimal,81.26744710505027,True,157,54,optimal,81.2674471050502,True
GCF_000008125.1,,115,115,106,87,108,109,99,109,0,0,optimal,8.51420701868648,True,106,36,optimal,29.309801080242064,True,87,21,optimal,8.832607513810766,True,108,38,optimal,21.527953689066024,True,109,37,optimal,21.52795368906659,True,99,28,optimal,21.52795368906659,True,109,36,optimal,21.527953689065836,True
GCF_000008145.1,,154,133,135,111,139,140,123,140,0,0,optimal,59.21685908061952,True,135,51,optimal,78.49081947486737,True,111,27,optimal,40.951731899932255,True,139,53,optimal,43.50437925957669,True,140,50,optimal,43.504379259577206,True,123,36,optimal,43.504379259577206,True,140,50,optimal,43.50437925957716,True
GCF_000008165.1,,162,138,146,118,149,150,135,150,0,0,optimal,81.09450129376918,True,146,54,optimal,108.66765844016219,True,118,30,optimal,60.95058532878754,True,149,54,optimal,64.53592930304056,True,150,52,optimal,64.53592930304019,True,135,39,optimal,64.53592930304053,True,150,52,optimal,64.53592930304062,True
GCF_000008185.1,,79,95,72,55,75,76,74,76,0,0,optimal,0.0,False,72,21,optimal,0.0,False,55,14,optimal,0.0,False,75,23,optimal,0.0,False,76,22,optimal,0.0,False,74,20,optimal,0.0,False,76,23,optimal,0.0,False
GCF_000008205.1,,56,73,54,37,55,55,52,55,0,0,optimal,0.0,False,54,16,optimal,0.0,False,37,8,optimal,0.0,False,55,16,optimal,0.0,False,55,15,optimal,0.0,False,52,12,optimal,0.0,False,55,15,optimal,0.0,False
GCF_000008225.1,,56,73,54,37,55,55,52,55,0,0,optimal,0.0,False,54,16,optimal,0.0,False,37,8,optimal,0.0,False,55,16,optimal,0.0,False,55,15,optimal,0.0,False,52,12,optimal,0.0,False,55,15,optimal,0.0,False
GCF_000008245.1,,56,71,55,39,55,56,53,56,0,0,optimal,0.0,False,55,16,optimal,0.0,False,39,7,optimal,0.0,False,55,16,optimal,0.0,False,56,15,optimal,0.0,False,53,12,optimal,0.0,False,56,15,optimal,0.0,False
GCF_000008265.1,,85,103,73,57,77,77,73,77,0,0,optimal,0.0,False,73,22,optimal,0.0,False,57,9,optimal,0.0,False,77,23,optimal,0.0,False,77,20,optimal,0.0,False,73,18,optimal,0.0,False,77,19,optimal,0.0,False
GCF_000008285.1,,113,111,103,82,106,107,99,107,0,0,optimal,0.0,False,103,36,optimal,0.0,False,82,19,optimal,0.0,False,106,39,optimal,0.0,False,107,35,optimal,0.0,False,99,29,optimal,0.0,False,107,35,optimal,0.0,False
GCF_000008305.1,,58,72,56,41,57,58,55,58,0,0,optimal,0.0,False,56,16,optimal,0.0,False,41,7,optimal,0.0,False,57,16,optimal,0.0,False,58,15,optimal,0.0,False,55,12,optimal,0.0,False,58,15,optimal,0.0,False
GCF_000008325.1,,127,126,109,87,113,114,100,114,0,0,optimal,0.0,False,109,36,optimal,0.0,False,87,17,optimal,0.0,False,113,41,optimal,0.0,False,114,37,optimal,0.0,False,100,28,optimal,0.0,False,114,37,optimal,0.0,False
GCF_000008345.1,,119,111,103,79,107,108,94,108,0,0,optimal,0.0,False,103,39,optimal,0.0,False,79,21,optimal,0.0,False,107,42,optimal,31.324558976313384,True,108,40,optimal,28.682635245796085,True,94,30,optimal,28.682635245795872,True,108,40,optimal,28.682635245796085,True
GCF_000008365.1,,59,75,58,41,58,59,57,59,0,0,optimal,0.0,False,58,16,optimal,0.0,False,41,8,optimal,0.0,False,58,16,optimal,0.0,False,59,15,optimal,0.0,False,57,13,optimal,0.0,False,59,15,optimal,0.0,False
GCF_000008385.1,,72,84,67,48,67,68,62,68,0,0,optimal,0.0,False,67,18,optimal,0.0,False,48,6,optimal,0.0,False,67,19,optimal,0.0,False,68,18,optimal,0.0,False,62,13,optimal,0.0,False,68,18,optimal,0.0,False
GCF_000008405.1,,56,73,54,37,55,55,52,55,0,0,optimal,0.0,False,54,16,optimal,0.0,False,37,8,optimal,0.0,False,55,16,optimal,0.0,False,55,15,optimal,0.0,False,52,12,optimal,0.0,False,55,15,optimal,0.0,False
GCF_000008425.1,,157,136,143,116,147,148,134,148,0,0,optimal,75.34505343578869,True,143,51,optimal,100.94427763714378,True,116,28,optimal,53.81789531127728,True,147,52,optimal,60.950585328787895,True,148,49,optimal,53.817895311277674,True,134,39,optimal,53.81789531127712,True,148,49,optimal,53.81789531127739,True
